CellID,X_centroid,Y_centroid,phenotype,Cluster
794469,29036.52918287937,23608.17120622568,NK,66
589731,29311.72008547009,23809.1858974359,NK,67
854555,30952.281553398057,23643.135922330097,NK,68
332983,27201.07251908397,23290.931297709925,NK,69
723340,28887.82035928144,23552.05988023952,NK,70
352601,30376.793969849245,23562.437185929648,NK,71
31860,27830.3536121673,23530.60076045628,NK,72
990204,27781.73214285714,23244.26785714286,NK,73
124537,27971.24045801527,23438.019083969462,NK,74
422177,30046.39700374532,23677.70786516854,NK,75
219703,27537.143229166668,23503.502604166668,NK,76
775295,30690.016260162603,23686.065040650406,NK,77
358866,28222.45631067961,23327.077669902912,NK,78
1015995,31174.89855072464,23523.289855072464,NK,79
532808,29275.577142857142,23906.06857142857,NK,80
651784,27274.152671755724,23433.809160305344,NK,81
751275,27655.82629107981,23627.535211267605,NK,82
714165,29595.014925373136,23907.30845771144,NK,83
297445,29498.078125,23796.4765625,NK,84
467302,28081.14736842105,23349.22105263158,NK,85
393631,31346.72602739726,23789.054794520547,NK,86
28386,29955.148514851484,23803.40594059406,NK,87
108065,30994.880794701985,23556.807947019868,NK,88
639782,31332.41089108911,23945.16336633664,NK,89
851510,27974.50574712644,23254.666666666668,NK,90
107759,30111.76785714286,23239.621428571427,NK,91
916655,26552.656565656565,23556.91919191919,NK,92
678389,31240.940397350994,23507.12582781457,NK,93
512763,27377.487603305784,23343.774104683194,NK,94
354588,27282.657142857144,23289.464285714286,NK,95
900071,29012.06976744186,23820.1511627907,NK,96
939618,29263.2578125,23775.28125,NK,97
634398,28184.3115942029,23479.39855072464,NK,98
995142,26476.581967213115,23456.0,NK,99
759113,29399.94897959184,23839.530612244896,NK,100
720007,28972.422018348625,23703.183486238533,NK,101
834518,31231.558139534885,23386.99534883721,NK,102
928530,27150.671641791047,23253.47014925373,NK,103
937785,30888.47474747475,23831.696969696968,NK,104
334924,30228.424083769634,23745.403141361257,NK,105
801258,27552.72258064516,23301.43225806452,NK,106
394670,28718.660098522167,23567.975369458127,NK,107
625380,28898.48356807512,23853.272300469485,NK,108
536789,27333.972222222223,23265.68253968254,NK,109
234694,30554.9282700422,23404.46835443038,NK,110
591833,29244.711764705884,23847.03529411765,NK,111
119560,28930.88888888889,23496.54970760234,NK,112
374341,28905.29936305733,23782.114649681527,NK,113
